"","sid","block_n","snb","bid","b2_bid","s1_rp","s2_rp","outcome","rt","profit","country","out_bool","out_prev","out_aprev","bid_prev","bid_aprev","bid_next","bid_anext","dl"
"158","10",16,"NC",4.9,NA,4,NA,"accept",NA,5.1,"CH",TRUE,1,0,4.9,0,4.8,5,1
"159","10",16,"SC",5,NA,1,3.5,"accept",NA,5,"CH",TRUE,NA,1,NA,0,5,8.7,NA
"160","10",16,"BC",8.7,6.1,7.5,NA,"accept",NA,1.3,"CH",TRUE,0,1,8.3,0,8.5,4.8,1
"161","10",17,"NC",4.8,NA,1,NA,"accept",NA,5.2,"CH",TRUE,1,1,4.9,0,4.8,5,1
"162","10",17,"SC",5,NA,2.2,3,"accept",NA,5,"CH",TRUE,1,1,5,0,5,8.5,1
"163","10",17,"BC",8.5,8,2,NA,"accept",NA,1.5,"CH",TRUE,1,1,8.7,0,NA,4.8,1
"164","10",18,"NC",4.8,NA,4,NA,"accept",NA,5.2,"CH",TRUE,1,1,4.8,0,4.7,5,1
"165","10",18,"SC",5,NA,2.6,0,"accept",NA,5,"CH",TRUE,1,1,5,0,NA,4.7,1
"166","10",19,"NC",4.7,NA,3.1,NA,"accept",NA,5.3,"CH",TRUE,1,1,4.8,0,NA,8.5,1
"167","10",19,"BC",8.5,8,0,NA,"accept",NA,1.5,"CH",TRUE,NA,1,NA,0,8.5,5,NA
"168","10",20,"SC",5,NA,2,0.1,"accept",NA,5,"CH",TRUE,NA,1,NA,0,NA,8.5,NA
"169","10",20,"BC",8.5,8,0.1,NA,"accept",NA,1.5,"CH",TRUE,1,1,8.5,0,8.5,4.7,1
"170","10",21,"NC",4.7,NA,0.1,NA,"accept",NA,5.3,"CH",TRUE,NA,1,NA,0,4.7,8.5,NA
"171","10",21,"BC",8.5,8,2.9,NA,"accept",NA,1.5,"CH",TRUE,1,1,8.5,0,8.5,4.7,1
"172","10",22,"NC",4.7,NA,4,NA,"accept",NA,5.3,"CH",TRUE,1,1,4.7,0,4.7,5,1
"173","10",22,"SC",5,NA,2.9,0.1,"accept",NA,5,"CH",TRUE,NA,1,NA,0,5,8.5,NA
"174","10",22,"BC",8.5,8.7,6.5,NA,"reject",NA,0,"CH",FALSE,1,1,8.5,0,8.5,4.7,1
"175","10",23,"NC",4.7,NA,7,NA,"reject",NA,0,"CH",FALSE,1,0,4.7,0,4.9,5,1
"176","10",23,"SC",5,NA,1.9,3.8,"accept",NA,5,"CH",TRUE,1,0,5,0,5,8.5,1
"177","10",23,"BC",8.5,8.6,0.1,NA,"reject",NA,0,"CH",FALSE,0,1,8.5,0,9,4.9,0
